texture,rank,beta,alpha,max_iter,phase_iter,phase_method,sdr,sir,sar,mci,bark_entropy,reconstruction_error
rainforest,2,1,0.1,300,50,fast_griffin_lim,21.069061,21.069061,21.069122,-2.8617208,0.1633431,1.8960994
rainforest,2,2,0.0,100,50,griffin_lim,22.53302,22.53302,22.533062,3.7176197,0.1633431,0.08714085
rainforest,2,2,0.0,100,50,fast_griffin_lim,22.53302,22.53302,22.533062,3.7176197,0.1633431,0.08714085
rainforest,2,2,0.0,300,50,griffin_lim,22.535355,22.535355,22.535397,3.684945,0.1633431,0.08709409
rainforest,2,2,0.0,300,50,fast_griffin_lim,22.535355,22.535355,22.535397,3.684945,0.1633431,0.08709409
rainforest,2,2,0.1,100,50,griffin_lim,21.282127,21.282127,21.281918,39.042397,0.1633431,0.116285086
rainforest,2,2,0.1,100,50,fast_griffin_lim,21.282127,21.282127,21.281918,39.042397,0.1633431,0.116285086
rainforest,2,2,0.1,300,50,griffin_lim,21.25365,21.25365,21.253437,40.292778,0.1633431,0.117018856
rainforest,2,2,0.1,300,50,fast_griffin_lim,21.25365,21.25365,21.253437,40.292778,0.1633431,0.117018856
rainforest,4,0,0.0,100,50,griffin_lim,22.198229,22.198229,22.19828,-1.2017536,0.1633431,0.09416846
rainforest,4,0,0.0,100,50,fast_griffin_lim,22.198229,22.198229,22.19828,-1.2017536,0.1633431,0.09416846
rainforest,4,0,0.0,300,50,griffin_lim,24.453526,24.453526,24.453571,-1.0939766,0.1633431,0.056031696
rainforest,4,0,0.0,300,50,fast_griffin_lim,24.453526,24.453526,24.453571,-1.0939766,0.1633431,0.056031696
rainforest,4,0,0.1,100,50,griffin_lim,19.422243,19.422243,19.422295,-2.5676167,0.1633431,1.6488546
rainforest,4,0,0.1,100,50,fast_griffin_lim,19.422243,19.422243,19.422295,-2.5676167,0.1633431,1.6488546
rainforest,4,0,0.1,300,50,griffin_lim,19.422243,19.422243,19.422295,-2.5676167,0.1633431,1.6488546
rainforest,4,0,0.1,300,50,fast_griffin_lim,19.422243,19.422243,19.422295,-2.5676167,0.1633431,1.6488546
rainforest,4,1,0.0,100,50,griffin_lim,22.198229,22.198229,22.19828,-1.2017536,0.1633431,0.09416846
rainforest,4,1,0.0,100,50,fast_griffin_lim,22.198229,22.198229,22.19828,-1.2017536,0.1633431,0.09416846
rainforest,4,1,0.0,300,50,griffin_lim,24.453526,24.453526,24.453571,-1.0939766,0.1633431,0.056031696
rainforest,4,1,0.0,300,50,fast_griffin_lim,24.453526,24.453526,24.453571,-1.0939766,0.1633431,0.056031696
rainforest,4,1,0.1,100,50,griffin_lim,19.422243,19.422243,19.422295,-2.5676167,0.1633431,1.6488546
rainforest,4,1,0.1,100,50,fast_griffin_lim,19.422243,19.422243,19.422295,-2.5676167,0.1633431,1.6488546
rainforest,4,1,0.1,300,50,griffin_lim,19.422243,19.422243,19.422295,-2.5676167,0.1633431,1.6488546
rainforest,4,1,0.1,300,50,fast_griffin_lim,19.422243,19.422243,19.422295,-2.5676167,0.1633431,1.6488546
rainforest,4,2,0.0,100,50,griffin_lim,26.920685,26.920685,26.92072,-0.9591164,0.1633431,0.031757172
